feature,coefficient,abs_coefficient,feature_type
std_sentence_length,-2.307921695393205,2.307921695393205,text_stat
repetition_ratio,-1.6557341539427772,1.6557341539427772,text_stat
hapax_ratio,1.5035116463429057,1.5035116463429057,text_stat
filler_word_ratio,-1.4502487498864547,1.4502487498864547,text_stat
vocabulary_richness,1.4214938586947956,1.4214938586947956,text_stat
avg_sentence_length,1.3394607621569585,1.3394607621569585,text_stat
words_per_sentence,1.258975062253887,1.258975062253887,text_stat
exclaim_count,1.2538210037236328,1.2538210037236328,text_stat
max_sentence_length,-1.0500344371070023,1.0500344371070023,text_stat
log_unique_words,0.9650855863750878,0.9650855863750878,text_stat
sentence_length_range,-0.9354308614238149,0.9354308614238149,text_stat
std_word_length,0.6874631201484829,0.6874631201484829,text_stat
long_word_ratio,-0.5354719351434262,0.5354719351434262,text_stat
question_count,-0.41365576054753617,0.41365576054753617,text_stat
false_start_ratio,-0.2869932859637159,0.2869932859637159,text_stat
avg_word_length,-0.24850530519040095,0.24850530519040095,text_stat
discourse_marker_ratio,-0.21035519460169802,0.21035519460169802,text_stat
log_sentence_count,-0.20544388181079642,0.20544388181079642,text_stat
min_sentence_length,-0.18466347731993824,0.18466347731993824,text_stat
log_char_count,0.13638735033995994,0.13638735033995994,text_stat
log_word_count,0.13378518289401084,0.13378518289401084,text_stat
self_correction_ratio,0.1301752316959955,0.1301752316959955,text_stat
chars_per_word,-0.08399680686090227,0.08399680686090227,text_stat
short_word_ratio,-0.056031543719852785,0.056031543719852785,text_stat
informal_contraction_ratio,-0.01609028136321133,0.01609028136321133,text_stat
